id,user_id,status,payment_method,payment_status,total_pkr,delivery_address,tracking_id,created_at,updated_at
ord_017,usr_017,CONFIRMED,CARD,PAID,5850,"Address 17, City",TRK-1017,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
ord_018,usr_018,PENDING,COD,PENDING,5900,"Address 18, City",TRK-1018,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
ord_019,usr_019,CONFIRMED,CARD,PAID,5950,"Address 19, City",TRK-1019,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
ord_020,usr_020,CONFIRMED,COD,PENDING,6000,"Address 20, City",TRK-1020,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
ord_021,usr_021,PENDING,CARD,PAID,6050,"Address 21, City",TRK-1021,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
ord_022,usr_022,CONFIRMED,COD,PENDING,6100,"Address 22, City",TRK-1022,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
ord_023,usr_023,CONFIRMED,CARD,PAID,6150,"Address 23, City",TRK-1023,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
ord_024,usr_024,PENDING,COD,PENDING,6200,"Address 24, City",TRK-1024,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
ord_025,usr_025,CONFIRMED,CARD,PAID,6250,"Address 25, City",TRK-1025,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
ord_026,usr_026,CONFIRMED,COD,PENDING,6300,"Address 26, City",TRK-1026,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
ord_027,usr_027,PENDING,CARD,PAID,6350,"Address 27, City",TRK-1027,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
ord_028,usr_028,CONFIRMED,COD,PENDING,6400,"Address 28, City",TRK-1028,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
ord_029,usr_029,CONFIRMED,CARD,PAID,6450,"Address 29, City",TRK-1029,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
ord_030,usr_030,PENDING,COD,PENDING,6500,"Address 30, City",TRK-1030,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
ord_031,usr_031,CONFIRMED,CARD,PAID,6550,"Address 31, City",TRK-1031,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
ord_032,usr_032,CONFIRMED,COD,PENDING,6600,"Address 32, City",TRK-1032,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
ord_033,usr_033,PENDING,CARD,PAID,6650,"Address 33, City",TRK-1033,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
ord_034,usr_034,CONFIRMED,COD,PENDING,6700,"Address 34, City",TRK-1034,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
ord_035,usr_035,CONFIRMED,CARD,PAID,6750,"Address 35, City",TRK-1035,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
ord_036,usr_036,PENDING,COD,PENDING,6800,"Address 36, City",TRK-1036,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
ord_037,usr_037,CONFIRMED,CARD,PAID,6850,"Address 37, City",TRK-1037,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
ord_038,usr_038,CONFIRMED,COD,PENDING,6900,"Address 38, City",TRK-1038,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
ord_039,usr_039,PENDING,CARD,PAID,6950,"Address 39, City",TRK-1039,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
ord_040,usr_040,CONFIRMED,COD,PENDING,7000,"Address 40, City",TRK-1040,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
ord_041,usr_041,CONFIRMED,CARD,PAID,7050,"Address 41, City",TRK-1041,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
ord_042,usr_042,PENDING,COD,PENDING,7100,"Address 42, City",TRK-1042,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
ord_043,usr_043,CONFIRMED,CARD,PAID,7150,"Address 43, City",TRK-1043,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
ord_044,usr_044,CONFIRMED,COD,PENDING,7200,"Address 44, City",TRK-1044,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
ord_045,usr_045,PENDING,CARD,PAID,7250,"Address 45, City",TRK-1045,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
ord_046,usr_046,CONFIRMED,COD,PENDING,7300,"Address 46, City",TRK-1046,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
ord_047,usr_047,CONFIRMED,CARD,PAID,7350,"Address 47, City",TRK-1047,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
ord_048,usr_048,PENDING,COD,PENDING,7400,"Address 48, City",TRK-1048,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
ord_049,usr_049,CONFIRMED,CARD,PAID,7450,"Address 49, City",TRK-1049,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
ord_050,usr_050,CONFIRMED,COD,PENDING,7500,"Address 50, City",TRK-1050,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
